title,stream,description,required_skills,min_education,salary_range,type,difficulty,market_demand
Weed Science Specialist,Agriculture/Science,"Specialize in identifying invasive weed species and testing target herbicide chemical mixes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Agronomy;Herbicides Chemistry;Weed Identification;Environmental Safety;GIS,Undergraduate (B.Sc Agriculture),₹300000 - ₹850000,Private Sector,Medium,Stable
Aquaculture Farm Manager,Agriculture/Science,"Specialize in monitoring fish tank oxygen filters and calculating shrimp feeding weights to analyze, design, and optimize systems while collaborating with cross-functional teams.",Aquaculture;Fish Nutrition;Water Quality Control;Pest Prevention;Inventory Management,Undergraduate (B.F.Sc),₹300000 - ₹900000,Private Sector,Medium,Stable
Forester Conservator,Agriculture/Science,"Specialize in counting mature timber tree stocks and planning forest replanting grids to analyze, design, and optimize systems while collaborating with cross-functional teams.",Forestry;Silviculture;GIS;Tree Identification;Environmental Laws,Undergraduate (B.Sc Forestry),₹250000 - ₹750000,Government Sector,Medium,Stable
Park Ranger Guard,Agriculture/Science,"Specialize in patrolling reserve boundaries forest tracks to prevent illegal firewood logging to analyze, design, and optimize systems while collaborating with cross-functional teams.",First Aid;Wildlife Laws;Survival Skills;GPS Mapping;Public Speaking,Higher Secondary / Diploma,₹180000 - ₹500000,Government Sector,Easy,Stable
Wildlife Field Biologist,Agriculture/Science,"Specialize in setting motion camera traps in forests to count local leopard spots patterns to analyze, design, and optimize systems while collaborating with cross-functional teams.",Wildlife Ecology;Radio Telemetry;GIS;Field Methods;Animal Identification,Postgraduate (M.Sc Zoology/Wildlife),₹300000 - ₹900000,NGO / Public Sector,Hard,Stable
Ecology Field Assistant,Agriculture/Science,"Specialize in planting custom grass saplings to restore local river bank soils erosion to analyze, design, and optimize systems while collaborating with cross-functional teams.",Ecology;Plant Identification;Soil Conservation;Field Mapping;Data Logging,Undergraduate (B.Sc Botany/Ecology),₹200000 - ₹650000,NGO / Public Sector,Easy,Stable
Farming Soil Consultant,Agriculture/Science,"Specialize in visiting private fields to draft customized chemical crop rotation reports to analyze, design, and optimize systems while collaborating with cross-functional teams.",Agronomy;Soil Analysis;Crop Rotation Strategy;Irrigation Systems;Customer Service,Undergraduate (B.Sc Agriculture),₹300000 - ₹800000,Private Sector,Medium,Stable
Organic Certification Auditor,Agriculture/Science,"Specialize in checking farm soil chemical history record books to grant organic labels to analyze, design, and optimize systems while collaborating with cross-functional teams.",Organic Standards;Compliance Auditing;Soil Testing Basics;Report Writing;Pesticides Chemistry,Undergraduate (B.Sc Agriculture),₹300000 - ₹900000,Private Sector,Medium,Stable
Drip Irrigation Architect,Agriculture/Science,"Specialize in calculating water pump pipe pressures and drafting field drip layouts to analyze, design, and optimize systems while collaborating with cross-functional teams.",Irrigation Engineering;Fluid Mechanics Basics;AutoCAD;Water Management;Pipe Sizing,Undergraduate (B.Tech Agri Eng),₹350000 - ₹1100000,Private Sector,Medium,Growing
Precision Farming Analyst,Agriculture/Science,"Specialize in combining drone multispectral photos to map crop stress zones to analyze, design, and optimize systems while collaborating with cross-functional teams.",GIS;Remote Sensing;Python Basics;GPS Devices;Data Visualization,Undergraduate (B.Sc Agriculture/BCA),₹350000 - ₹1100000,Private Sector,Hard,Growing
Agribusiness Analyst,Commerce/Management,"Specialize in comparing crop market mandi prices listings to forecast grains price indices to analyze, design, and optimize systems while collaborating with cross-functional teams.",Agricultural Economics;Market Pricing;Excel;Data Analysis;Commodities Valuation,Undergraduate (B.Sc Agribusiness/B.Com),₹350000 - ₹1000000,Private Sector,Medium,Stable
Grain Quality Analyst,Agriculture/Science,"Specialize in weighing wheat seed samples and checking moisture contents inside grain silos to analyze, design, and optimize systems while collaborating with cross-functional teams.",Quality Assessment;Moisture Analysis;Grain Storage Safety;Lab Logging;Inventory Control,Undergraduate (B.Sc),₹200000 - ₹600000,Private Sector,Easy,Stable
Poultry Farm Supervisor,Agriculture/Science,"Specialize in monitoring temperature fans and chicken feeding pipelines inside broiler sheds to analyze, design, and optimize systems while collaborating with cross-functional teams.",Poultry Science;Broiler Feeding;Hygiene Standards;Staff Scheduling;Record Keeping,Diploma / Undergraduate (B.Sc),₹200000 - ₹700000,Private Sector,Easy,Stable
Apiculture Honey Consultant,Agriculture/Science,"Specialize in building wooden beehive box frames and demonstrating honey extraction tools to analyze, design, and optimize systems while collaborating with cross-functional teams.",Beekeeping;Honey Processing;Pest Management;Organic Standards;Customer Training,Higher Secondary / Diploma,₹180000 - ₹550000,Private Sector,Easy,Stable
Seed Germination Analyst,Agriculture/Science,"Specialize in monitoring petri dish sprouts numbers to calculate batch germination percentages to analyze, design, and optimize systems while collaborating with cross-functional teams.",Seed Testing;Germination Analysis;Microscopy;Lab Safety;Data Logging,Undergraduate (B.Sc Botany),₹200000 - ₹650000,Private Sector,Easy,Stable
